city,lat,long,temp,humidity,cloud,wind,country,date and time
bonnyville,54.2668,-110.735,33.8,64,40,5.75,CA,1615657566
springbok,-29.6643,17.8865,66.87,49,5,6.35,ZA,1615657566
myanaung,18.2833,95.3167,75.15,37,0,2.3,MM,1615657566
kieta,-6.2167,155.6333,79.38,80,48,5.53,PG,1615657567
almonte,37.2647,-6.5167,67.41,40,0,4.61,ES,1615657567
pacific grove,36.6177,-121.9166,51.22,79,46,1.99,US,1615657567
hambantota,6.1241,81.1185,79.48,80,86,16.17,LK,1615657568
luziania,-16.2525,-47.9503,80.8,54,75,6.91,BR,1615657568
geraldton,-28.7667,114.6,71.6,37,0,16.11,AU,1615657568
cosala,24.4125,-106.6908,75.0,53,93,4.0,MX,1615657569
pran buri,12.3847,99.9098,82.0,86,4,7.14,TH,1615657569
am timan,11.0297,20.2827,91.18,11,95,3.38,TD,1615657569
jingdezhen,29.2947,117.2079,52.93,94,1,1.63,CN,1615657570
ransang,8.9603,117.5828,76.98,85,100,5.82,PH,1615657570
stepnyak,52.8339,70.7803,-2.18,93,21,9.91,KZ,1615657570
jinchang,38.4953,102.1739,49.84,41,95,11.65,CN,1615657571
komsomolskiy,40.4272,71.7189,50.0,76,100,4.61,UZ,1615657571
manggar,-2.8833,108.2667,78.13,86,1,5.1,ID,1615657388
teruel,40.6667,-0.6667,54.46,19,0,13.8,ES,1615657572
lata,40.1629,-8.3327,58.24,66,27,7.0,PT,1615657572
porto novo,6.4965,2.6036,86.0,74,40,12.66,BJ,1615657573
regina,50.4501,-104.6178,41.0,60,20,9.22,CA,1615657571
maragogi,-9.0122,-35.2225,82.54,67,23,11.1,BR,1615657534
bambanglipuro,-7.95,110.2833,76.64,80,100,4.12,ID,1615657573
ulagan,50.6321,87.9563,-8.75,93,68,2.1,RU,1615657574
tonj,7.2737,28.6822,88.52,24,88,1.74,SS,1615657574
asfi,32.2994,-9.2372,62.89,75,18,23.24,MA,1615657574
areosa,41.7178,-8.8571,56.16,72,20,9.22,PT,1615657575
plouzane,48.3833,-4.6167,44.11,70,75,16.11,FR,1615657575
baraboo,43.4711,-89.7443,51.4,37,1,14.97,US,1615657575
buraydah,26.326,43.975,68.0,42,0,5.75,SA,1615657576
inhambane,-23.865,35.3833,82.18,74,20,4.61,MZ,1615657576
villa sandino,12.0483,-84.9936,86.0,54,40,6.91,NI,1615657576
koslan,63.4564,48.8989,19.31,93,100,10.13,RU,1615657577
batagay-alyta,67.8006,130.4114,-20.54,78,69,1.52,RU,1615657577
san cristobal,7.7669,-72.225,80.38,54,82,2.44,VE,1615657578
lakatoro,-16.0999,167.4164,79.14,83,99,5.86,VU,1615657578
touros,-5.1989,-35.4608,87.8,55,40,18.41,BR,1615657579
hardenberg,52.5758,6.6194,42.17,90,100,20.0,NL,1615657579
horadiz,39.4488,47.3353,39.2,81,75,9.22,AZ,1615657580
kawalu,-7.3817,108.2082,72.9,94,94,1.7,ID,1615657580
leningradskiy,69.3833,178.4167,14.68,90,75,8.68,RU,1615657580
tiarei,-17.5333,-149.3333,80.22,74,20,3.44,PF,1615657581
sola,-13.8833,167.55,79.12,82,100,14.54,VU,1615657581
grand gaube,-20.0064,57.6608,79.0,79,57,1.99,MU,1615657296
te anau,-45.4167,167.7167,54.34,72,36,7.07,NZ,1615657582
krasnyy chikoy,50.3643,108.7512,29.48,93,71,4.34,RU,1615657582
kpandae,8.4689,-0.0113,96.28,31,77,5.12,GH,1615657582
tateyama,34.9833,139.8667,49.1,93,40,9.22,JP,1615657583
noumea,-22.2763,166.4572,71.6,83,20,1.14,NC,1615657583
iaciara,-14.0958,-46.6317,87.98,45,10,1.79,BR,1615657584
punta alta,-38.8759,-62.0736,84.69,27,0,5.79,AR,1615657584
xaltianguis,17.0667,-99.8333,84.2,70,1,3.44,MX,1615657584
vilcun,-38.65,-72.2333,69.8,64,0,3.44,CL,1615657585
pochutla,15.7432,-96.4661,89.8,45,1,12.66,MX,1615657585
kruisfontein,-34.0033,24.7314,72.0,67,56,7.0,ZA,1615657585
pangody,65.85,74.4859,-14.55,68,15,10.18,RU,1615657586
pemangkat,1.1667,108.9667,77.34,87,92,6.78,ID,1615657586
taitung,22.7583,121.1444,67.55,77,99,8.86,TW,1615657587
lazaro cardenas,17.9583,-102.2,85.68,46,0,7.43,MX,1615657587
sawtell,-30.3833,153.1,71.4,83,8,9.22,AU,1615657587
vilhena,-12.7406,-60.1458,75.2,94,75,9.22,BR,1615657588
mangrol,21.1167,70.1167,75.87,74,0,9.73,IN,1615657588
bonthe,7.5264,-12.505,83.57,69,82,13.09,SL,1615657588
macenta,8.5435,-9.471,88.38,33,72,2.15,GN,1615657589
santana,-0.0583,-51.1817,89.6,58,40,3.44,BR,1615657589
goderich,43.7501,-81.7165,30.2,59,13,13.8,CA,1615657590
pavilosta,56.8879,21.1859,35.6,93,75,4.61,LV,1615657590
buta,2.7858,24.73,74.28,81,90,1.5,CD,1615657591
bichena,10.45,38.2,69.15,29,54,7.27,ET,1615657591
karachi,24.9056,67.0822,78.8,50,1,3.44,PK,1615657488
mount isa,-20.7333,139.5,77.0,78,96,10.36,AU,1615657591
mul,20.0667,79.6667,77.67,23,0,4.63,IN,1615657592
follonica,42.9263,10.7616,54.3,82,0,6.91,IT,1615657592
husavik,66.0449,-17.3389,28.4,69,40,12.66,IS,1615657592
el alto,-4.2714,-81.2147,89.6,51,0,11.5,PE,1615657593
samarai,-10.6167,150.6667,81.32,79,95,7.99,PG,1615657593
bhatkal,13.9667,74.5667,79.11,83,9,2.68,IN,1615657594
imeni babushkina,59.7573,43.1285,20.32,90,100,10.69,RU,1615657594
nantucket,41.2835,-70.0995,39.58,45,1,18.41,US,1615657594
boyuibe,-20.4167,-63.2833,87.8,40,40,6.69,BO,1615657595
oriximina,-1.7656,-55.8661,87.66,55,76,4.07,BR,1615657595
kachiry,53.0675,76.1036,-5.48,90,0,10.27,KZ,1615657596
fairhope,30.523,-87.9033,72.1,77,1,4.61,US,1615657504
mahibadhoo,3.7833,72.9667,83.77,72,49,13.85,MV,1615657584
junnar,19.2,73.8833,75.78,21,72,4.16,IN,1615657563
carmen de carupa,5.3486,-73.9017,56.01,82,91,3.4,CO,1615657597
eureka,40.8021,-124.1637,49.59,72,29,2.24,US,1615657597
giyani,-23.3025,30.7187,74.3,62,0,6.22,ZA,1615657598
kozhva,65.1073,57.0459,12.27,93,62,7.23,RU,1615657598
kamogawa,35.1,140.1,49.1,93,40,9.22,JP,1615657598
cockburn town,21.4612,-71.1419,76.12,76,0,18.37,TC,1615657599
sal rei,16.1833,-22.9167,77.0,65,0,16.11,CV,1615657599
prado,-17.3411,-39.2208,82.35,61,0,8.75,BR,1615657600
ca mau,9.1769,105.15,74.89,84,1,4.56,VN,1615657600
dharchula,29.85,80.5333,57.67,34,40,6.35,IN,1615657601
turbat,26.0023,63.044,66.43,81,0,1.83,PK,1615657601
mamlyutka,54.9375,68.5394,4.32,96,83,9.37,KZ,1615657601
araouane,18.9048,-3.5265,81.19,22,30,7.94,ML,1615657602
acapulco,16.8634,-99.8901,84.2,70,1,3.44,MX,1615657602
riachao das neves,-11.7461,-44.91,88.11,42,19,4.43,BR,1615657603
benghazi,32.1167,20.0667,60.1,61,84,16.73,LY,1615657603
arman,59.7,150.1667,-5.78,71,11,6.98,RU,1615657603
quatre cocos,-20.2078,57.7625,79.75,78,75,5.75,MU,1615657604
kota kinabalu,5.9749,116.0724,78.42,89,20,10.36,MY,1615657604
gorele,41.0308,39.0031,46.4,57,0,6.91,TR,1615657604
broken hill,-31.95,141.4333,53.6,76,100,19.57,AU,1615657605
toyo,10.7333,125.0167,74.14,93,80,2.3,PH,1615657605
zhezkazgan,47.8043,67.7144,0.32,79,100,15.97,KZ,1615657606
sorland,67.667,12.6934,39.2,93,75,10.36,NO,1615657606
carutapera,-1.195,-46.02,80.78,87,100,6.33,BR,1615657606
boyle,37.6334,-84.8666,54.5,50,40,7.27,US,1615657607
tazovskiy,67.4667,78.7,-14.57,82,26,14.83,RU,1615657607
coihaique,-45.5752,-72.0662,66.2,45,0,4.61,CL,1615657607
chernyshevskiy,63.0128,112.4714,3.34,95,73,8.48,RU,1615657608
soe,-9.8607,124.284,66.31,95,18,2.13,ID,1615657608
chapada dos guimaraes,-15.4606,-55.7497,91.4,52,75,5.75,BR,1615657609
oktyabrskoye,43.0645,44.7417,21.09,86,55,6.71,RU,1615657609
gazojak,41.1875,61.4036,20.66,85,100,15.1,TM,1615657610
myitkyina,25.3833,97.4,68.31,40,0,2.51,MM,1615657610
lillooet,50.6856,-121.942,38.12,70,1,2.68,CA,1615657610
little current,45.9793,-81.9248,31.69,64,64,16.11,CA,1615657509
laukaa,58.7372,29.8453,35.49,97,100,8.88,RU,1615657611
denpasar,-8.65,115.2167,77.0,100,75,11.5,ID,1615657611
wewak,-3.5534,143.6268,79.16,86,100,9.42,PG,1615657611
broome,42.2506,-75.833,33.06,46,1,13.8,US,1615657612
hecun,36.5333,114.1111,49.86,82,0,4.61,CN,1615657612
manokwari,-0.8667,134.0833,79.16,74,100,1.36,ID,1615657612
do gonbadan,30.3586,50.7981,55.4,58,0,3.74,IR,1615657613
jutai,-5.1833,-68.9,79.75,88,86,3.04,BR,1615657613
mancio lima,-7.6142,-72.8958,87.8,70,75,9.22,BR,1615657614
boueni,-12.9025,45.0761,78.8,94,0,2.3,YT,1615657614
beinamar,8.6698,15.3813,93.52,25,91,3.2,TD,1615657614
yar-sale,66.8333,70.8333,-8.9,89,81,8.61,RU,1615657615
muromtsevo,56.3724,75.2418,7.3,95,100,9.42,RU,1615657615
holme,56.1138,10.1725,37.71,100,75,1.14,DK,1615657616
harbin,45.75,126.65,33.8,69,0,4.47,CN,1615657616
peru,40.7537,-86.0689,46.17,33,20,5.75,US,1615657544
los llanos de aridane,28.6585,-17.9182,63.16,64,75,4.61,ES,1615657616
buy,58.4786,41.53,22.23,93,100,12.66,RU,1615657617
cabedelo,-6.9811,-34.8339,87.8,58,75,12.66,BR,1615657617
worland,44.0169,-107.9554,34.32,55,90,4.83,US,1615657617
otradnoye,59.7775,30.8181,35.01,92,100,8.03,RU,1615657618
khanpur,28.6453,70.6567,70.21,30,29,4.38,PK,1615657618
korla,41.7597,86.1469,52.41,34,53,5.79,CN,1615657618
udachnyy,66.4167,112.4,-6.92,90,11,9.78,RU,1615657619
black river,18.0264,-77.8487,83.05,65,40,24.16,JM,1615657619
labuhan,-6.8844,112.2051,77.72,82,100,8.32,ID,1615657619
vytegra,61.0064,36.4481,33.22,97,100,10.65,RU,1615657620
luchow,52.9667,11.15,43.29,78,89,7.0,DE,1615657620
alofi,-19.0595,-169.9187,69.8,100,24,1.14,NU,1615657620
masalli,34.7959,126.6553,41.0,100,0,2.3,KR,1615657621
vostok,46.4856,135.8833,20.14,70,100,3.18,RU,1615657621
capinopolis,-18.6819,-49.5697,84.74,62,72,4.83,BR,1615657621
umea,63.8284,20.2597,27.77,93,90,4.61,SE,1615657622
lixourion,38.2019,20.4314,59.0,72,40,4.29,GR,1615657622
pinhao,-25.6956,-51.6597,80.53,43,0,5.77,BR,1615657623
turayf,31.6725,38.6637,55.4,50,0,4.61,SA,1615657623
esso,55.9333,158.7,-8.19,88,0,6.04,RU,1615657624
hurghada,27.2574,33.8129,68.0,45,0,12.66,EG,1615657624
pangkalanbuun,-2.6833,111.6167,74.77,91,96,2.82,ID,1615657624
tavda,58.0425,65.2726,11.75,95,47,7.0,RU,1615657625
guarapari,-20.6667,-40.4975,85.62,62,20,13.8,BR,1615657625
mount darwin,-16.7725,31.5838,68.32,80,36,4.12,ZW,1615657626
shediac,46.2198,-64.5411,32.0,47,75,31.07,CA,1615657626
puerto escondido,15.85,-97.0667,86.0,74,1,8.19,MX,1615657488
fort-shevchenko,44.5086,50.263,29.64,47,100,15.52,KZ,1615657626
trofors,65.5333,13.4063,37.2,70,90,3.44,NO,1615657627
lahaina,20.8783,-156.6825,64.67,96,89,4.05,US,1615657627
ulladulla,-35.35,150.4667,63.45,100,75,10.36,AU,1615657628
pisco,-13.7,-76.2167,75.11,78,0,10.36,PE,1615657628
buk,52.3553,16.5196,44.49,87,75,13.8,PL,1615657628
troitsko-pechorsk,62.7084,56.1964,19.67,92,73,10.98,RU,1615657629
besikduzu,41.052,39.2284,46.4,57,0,6.91,TR,1615657629
ahuimanu,21.4447,-157.8378,68.49,78,75,18.41,US,1615657629
charagua,-19.8,-63.2167,87.8,40,40,8.81,BO,1615657630
paamiut,61.994,-49.6678,19.44,60,100,11.3,GL,1615657630
lerwick,60.1545,-1.1494,42.8,87,75,17.27,GB,1615657630
ruteng,-8.6136,120.4721,62.4,91,95,0.31,ID,1615657631
taunggyi,20.7833,97.0333,61.09,35,0,1.59,MM,1615657631
presidencia roque saenz pena,-26.7852,-60.4388,103.35,16,80,2.3,AR,1615657631
phanat nikhom,13.4458,101.1844,84.4,83,0,5.12,TH,1615657632
