city,lat,long,temp,humidity,cloud,wind,country,date and time
biu,10.6129,12.1946,89.24,17,40,6.22,NG,1615657477
lebu,-37.6167,-73.65,64.98,64,0,10.07,CL,1615657477
chicama,-7.8447,-79.1469,71.6,83,20,11.5,PE,1615657478
nyahururu,0.0421,36.3673,57.81,77,90,9.71,KE,1615657478
tiksi,71.6872,128.8694,-3.12,88,90,11.97,RU,1615657478
ondjiva,-17.0667,15.7333,79.48,46,90,5.28,AO,1615657479
tuatapere,-46.1333,167.6833,45.0,91,1,1.01,NZ,1615657479
airai,-8.9266,125.4092,60.49,96,100,1.25,TL,1615657200
prabumulih,-3.45,104.25,73.38,98,64,4.54,ID,1615657479
shelburne,44.0787,-80.2041,32.88,63,1,14.76,CA,1615657205
cidreira,-30.1811,-50.2056,77.56,68,13,9.55,BR,1615657201
rincon,32.296,-81.2354,82.67,36,40,8.05,US,1615657480
north platte,41.1239,-100.7654,37.6,87,90,13.8,US,1615657480
flin flon,54.7682,-101.865,28.4,54,40,9.22,CA,1615657276
longyearbyen,78.2186,15.6401,-2.97,93,68,5.26,SJ,1615657481
lodja,-3.4833,23.4333,78.21,72,99,1.34,CD,1615657338
bunia,1.5667,30.25,74.39,29,52,3.02,CD,1615657481
borogontsy,62.6683,131.1683,8.53,93,100,10.74,RU,1615657481
mariental,-24.6333,17.9667,86.74,22,61,11.92,NA,1615657482
riyadh,24.6877,46.7219,72.73,23,3,6.91,SA,1615657482
mamakan,57.8161,114.0028,16.23,88,100,0.56,RU,1615657482
kapaa,22.0752,-159.319,69.94,83,90,28.77,US,1615657483
huarmey,-10.0681,-78.1522,77.85,70,30,10.27,PE,1615657483
port blair,11.6667,92.75,80.13,72,14,2.75,IN,1615657242
hermanus,-34.4187,19.2345,77.0,53,42,5.99,ZA,1615657483
riberalta,-10.9833,-66.1,78.8,89,75,2.21,BO,1615657484
formosa do rio preto,-11.0483,-45.1931,86.97,50,42,4.59,BR,1615657484
oyem,1.5995,11.5793,73.04,87,81,2.84,GA,1615657484
saskylakh,71.9167,114.0833,-5.35,90,1,10.83,RU,1615657485
jaroslaw,50.0162,22.6778,47.39,53,20,12.66,PL,1615657485
marawi,7.9986,124.2928,73.0,93,99,5.01,PH,1615657485
naze,28.3667,129.4833,57.85,72,89,10.58,JP,1615657486
pevek,69.7008,170.3133,0.28,98,99,8.41,RU,1615657486
rocha,-34.4833,-54.3333,73.54,51,42,10.54,UY,1615657286
ahipara,-35.1667,173.1667,58.44,92,16,5.06,NZ,1615657487
pitimbu,-7.4706,-34.8086,87.8,58,75,12.66,BR,1615657487
tarifa,36.0139,-5.607,61.7,63,0,6.91,ES,1615657487
lorengau,-2.0226,147.2712,80.78,71,11,2.3,PG,1615657488
nikolskoye,59.7035,30.7861,36.45,81,20,6.71,RU,1615657488
hasaki,35.7333,140.8333,48.45,93,20,4.61,JP,1615657488
xingyi,24.1877,102.817,51.76,78,1,2.28,CN,1615657489
igarka,67.4667,86.5833,-26.52,94,31,9.86,RU,1615657489
flinders,-34.5833,150.8552,70.18,86,91,8.01,AU,1615657489
khingansk,49.1167,131.1833,19.99,84,0,1.92,RU,1615657490
victoria,22.2855,114.1577,67.51,85,14,1.01,HK,1615657417
lerici,44.0759,9.9112,53.91,73,43,1.99,IT,1615657490
saint-joseph,-21.3667,55.6167,73.65,73,20,16.11,RE,1615657491
tambovka,50.0969,128.0489,37.4,48,0,8.95,RU,1615657491
villa carlos paz,-31.4241,-64.4978,79.57,54,62,3.0,AR,1615657491
tenenkou,14.4572,-4.9169,86.74,7,0,7.65,ML,1615657492
tautira,-17.7333,-149.15,80.24,74,20,3.44,PF,1615657492
college,64.8569,-147.8028,-26.63,90,1,3.31,US,1615657224
le port,-20.9373,55.2919,73.54,73,0,13.8,RE,1615657493
hithadhoo,-0.6,73.0833,84.58,66,46,7.16,MV,1615657493
vigrestad,58.5667,5.7,39.65,76,99,3.8,NO,1615657493
santa cruz,-17.8,-63.1667,88.92,58,40,9.22,BO,1615657494
maralal,1.0968,36.698,65.25,63,82,11.39,KE,1615657494
wladyslawowo,54.7909,18.4009,41.52,93,75,11.5,PL,1615657494
sembakung,3.8167,117.25,71.47,95,100,1.34,ID,1615657495
arlit,18.7369,7.3853,84.18,10,81,4.52,NE,1615657495
basoko,1.2391,23.616,83.34,64,97,3.02,CD,1615657496
dicabisagan,17.0818,122.4157,74.59,88,93,8.75,PH,1615657496
